index	original	background	difference
1025	7116	2331	4785
1026	6969	2126	4843
1027	6883	2052	4831
1028	7219	2383	4836
1029	7271	2395	4876
1030	7182	2251	4931
1031	7067	2148	4919
1032	7145	2265	4880
1033	7142	2331	4811
1034	7110	2236	4874
1035	7017	2107	4910
1036	7193	2216	4977
1037	7407	2421	4986
1038	7264	2357	4907
1039	7187	2218	4969
1040	7178	2339	4839
1041	7183	2440	4743
1042	7053	2241	4812
1043	6826	2065	4761
1044	6818	2094	4724
1045	7248	2420	4828
1046	7144	2280	4864
1047	6899	2060	4839
1048	7178	2320	4858
1049	7352	2457	4895
1050	7123	2253	4870
1051	6961	2133	4828
1052	7367	2474	4893
1053	7360	2467	4893
1054	7652	2739	4913
1055	7142	2347	4795
1056	7029	2236	4793
1057	7139	2416	4723
1058	7025	2248	4777
1059	6846	2045	4801
1060	7017	2287	4730
1061	6996	2397	4599
1062	6698	2158	4540
1063	6686	2132	4554
1064	6804	2267	4537
1065	6903	2370	4533
1066	6756	2211	4545
1067	6625	2044	4581
1068	7013	2345	4668
1069	7096	2386	4710
1070	7053	2248	4805
1071	6897	2140	4757
1072	6942	2192	4750
1073	7192	2384	4808
1074	7221	2263	4958
1075	6933	2022	4911
1076	7177	2334	4843
1077	7232	2415	4817
1078	7018	2186	4832
1079	7061	2158	4903
1080	7346	2417	4929
1081	7298	2383	4915
1082	7199	2225	4974
1083	7016	2064	4952
1084	7153	2238	4915
1085	7159	2251	4908
1086	7057	2166	4891
1087	6963	2074	4889
1088	7165	2271	4894
1089	7252	2372	4880
1090	7159	2176	4983
1091	7150	2166	4984
1092	7404	2376	5028
1093	7440	2412	5028
1094	7228	2178	5050
1095	6992	2024	4968
1096	7134	2213	4921
1097	7239	2393	4846
1098	7034	2238	4796
1099	6738	2034	4704
1100	6850	2121	4729
1101	7241	2381	4860
1102	7103	2219	4884
1103	6946	2093	4853
1104	7166	2275	4891
1105	7211	2306	4905
1106	6959	2126	4833
1107	6928	2045	4883
1108	7103	2218	4885
1109	7277	2274	5003
1110	7077	2117	4960
1111	7146	2210	4936
1112	7301	2375	4926
1113	7396	2419	4977
1114	7070	2188	4882
1115	6873	2008	4865
1116	6937	2148	4789
1117	7151	2279	4872
1118	7243	2255	4988
1119	7146	2114	5032
1120	7313	2211	5102
1121	7388	2272	5116
1122	7273	2241	5032
1123	7291	2161	5130
1124	7578	2421	5157
1125	7587	2422	5165
1126	7225	2134	5091
1127	7108	2017	5091
1128	7319	2213	5106
1129	7407	2265	5142
1130	7214	2083	5131
1131	7182	2030	5152
1132	7320	2202	5118
1133	7579	2350	5229
1134	7360	2147	5213
1135	7123	2014	5109
1136	7487	2348	5139
1137	7588	2436	5152
1138	7343	2194	5149
1139	7303	2072	5231
1140	7501	2286	5215
1141	7479	2313	5166
1142	7397	2208	5189
1143	7554	2236	5318
1144	7593	2341	5252
1145	7573	2322	5251
1146	7505	2219	5286
1147	7404	2066	5338
1148	7568	2198	5370
1149	7605	2295	5310
1150	7425	2112	5313
1151	7673	2229	5444
1152	7689	2258	5431
1153	7714	2297	5417
1154	7596	2198	5398
1155	7569	2114	5455
1156	7768	2273	5495
1157	8069	2557	5512
1158	7713	2252	5461
1159	7489	2035	5454
1160	7837	2354	5483
1161	7892	2420	5472
1162	7660	2175	5485
1163	7559	2094	5465
1164	7681	2237	5444
1165	7794	2392	5402
1166	7749	2229	5520
1167	7718	2091	5627
1168	8029	2368	5661
1169	8030	2397	5633
1170	7732	2122	5610
1171	7931	2291	5640
1172	8176	2526	5650
1173	8137	2493	5644
1174	7768	2218	5550
1175	7569	2044	5525
1176	7842	2264	5578
1177	8025	2330	5695
