index	original	background	difference
547	5528	2073	3455
548	5823	2312	3511
549	6107	2563	3544
550	5753	2222	3531
551	5466	2000	3466
552	6010	2520	3490
553	6054	2522	3532
554	5815	2302	3513
555	5605	2104	3501
556	5692	2268	3424
557	5779	2289	3490
558	5595	2069	3526
559	5475	2025	3450
560	5621	2214	3407
561	5992	2544	3448
562	5708	2238	3470
563	5485	1980	3505
564	5746	2236	3510
565	5938	2398	3540
566	5729	2184	3545
567	5569	2073	3496
568	5751	2285	3466
569	5805	2371	3434
570	5575	2136	3439
571	5442	1980	3462
572	5711	2241	3470
573	5868	2338	3530
574	5615	2131	3484
575	5416	1973	3443
576	5764	2202	3562
577	5840	2354	3486
578	5711	2198	3513
579	5610	2127	3483
580	5844	2321	3523
581	5935	2396	3539
582	5641	2157	3484
583	5437	1947	3490
584	5644	2172	3472
585	5739	2245	3494
586	5668	2208	3460
587	5578	2082	3496
588	5709	2260	3449
589	5806	2363	3443
590	5662	2189	3473
591	5448	2024	3424
592	5609	2151	3458
593	5725	2296	3429
594	5508	2036	3472
595	5468	1940	3528
596	5630	2161	3469
597	5787	2336	3451
598	5791	2267	3524
599	5580	2058	3522
600	5752	2229	3523
601	5868	2317	3551
602	5666	2196	3470
603	5501	2083	3418
604	5642	2193	3449
605	5696	2260	3436
606	5537	2101	3436
607	5497	1994	3503
608	5862	2273	3589
609	5815	2294	3521
610	5695	2141	3554
611	5622	2079	3543
612	5686	2242	3444
613	5863	2313	3550
614	5798	2229	3569
615	5496	2064	3432
616	5695	2240	3455
617	5856	2361	3495
618	5638	2113	3525
619	5500	2028	3472
620	5898	2443	3455
621	5865	2439	3426
622	5602	2189	3413
623	5520	2065	3455
624	5666	2217	3449
625	5812	2315	3497
626	5675	2175	3500
627	5543	2054	3489
628	5748	2311	3437
629	5886	2363	3523
630	5668	2176	3492
631	5521	2014	3507
632	5780	2250	3530
633	5985	2414	3571
634	5983	2380	3603
635	5682	2148	3534
636	5930	2372	3558
637	5939	2359	3580
638	5699	2174	3525
639	5452	2036	3416
640	5676	2214	3462
641	5781	2264	3517
642	5581	2039	3542
643	5614	2004	3610
644	5708	2186	3522
645	5841	2322	3519
646	5912	2373	3539
647	5779	2205	3574
648	5958	2321	3637
649	5963	2368	3595
650	5608	2042	3566
651	5541	1938	3603
652	5845	2300	3545
653	5989	2407	3582
654	5777	2197	3580
655	5650	2037	3613
656	5717	2181	3536
657	5821	2287	3534
658	5785	2169	3616
659	5591	1977	3614
660	5694	2136	3558
661	5920	2392	3528
662	5661	2214	3447
663	5288	1978	3310
664	5472	2122	3350
665	5575	2256	3319
666	5389	2066	3323
667	5437	2019	3418
668	5638	2229	3409
669	5771	2270	3501
670	5695	2097	3598
671	5529	1977	3552
672	5771	2234	3537
673	5953	2385	3568
674	5885	2258	3627
675	5638	2093	3545
676	5802	2204	3598
677	5861	2270	3591
678	5646	2115	3531
679	5654	2087	3567
680	5788	2237	3551
681	5808	2239	3569
682	5796	2148	3648
683	5606	1994	3612
684	5926	2302	3624
685	6047	2456	3591
686	5809	2169	3640
687	5637	2069	3568
688	5673	2219	3454
689	5866	2317	3549
690	5802	2189	3613
691	5633	2089	3544
692	5787	2251	3536
693	5894	2386	3508
694	5668	2103	3565
695	5646	2007	3639
696	5797	2159	3638
697	5762	2215	3547
698	5696	2130	3566
699	5577	2041	3536
700	6161	2502	3659
701	6120	2479	3641
702	5766	2170	3596
703	5619	2041	3578
704	5986	2369	3617
705	6033	2435	3598
706	5866	2281	3585
707	5636	2064	3572
708	5799	2237	3562
709	5856	2378	3478
710	5616	2112	3504
711	5556	1996	3560
712	5906	2353	3553
713	6072	2488	3584
714	5744	2108	3636
715	5562	2022	3540
716	5907	2301	3606
717	5984	2382	3602
718	5816	2246	3570
719	5698	2076	3622
720	5733	2193	3540
721	5818	2297	3521
722	5904	2288	3616
723	5675	2101	3574
724	5812	2248	3564
725	5994	2430	3564
726	5781	2209	3572
727	5616	2034	3582
728	5734	2197	3537
729	5851	2290	3561
730	5637	2152	3485
731	5559	2002	3557
732	6014	2428	3586
733	6073	2472	3601
734	5842	2216	3626
735	5717	2097	3620
736	5913	2303	3610
737	5962	2366	3596
738	5852	2232	3620
